Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,10,3.0,30,50,1.5,0,48,45,-972.27,2.22,-21.61,1,8,-204.9,12.5,1
Down,jma,6h,10,3.0,30,50,1.5,0,60,45,-972.27,2.22,-21.61,1,8,-204.9,12.5,1
Down,jma,6h,10,3.0,30,-50,None,0,0,49,-972.9,0.0,-19.86,0,8,-142.31,0.0,0
Down,jma,6h,10,3.0,30,-50,None,0,48,49,-972.9,0.0,-19.86,0,8,-142.31,0.0,0
Down,jma,6h,10,3.0,30,-50,None,0,60,49,-972.9,0.0,-19.86,0,8,-142.31,0.0,0
Down,jma,6h,10,3.0,30,-50,None,0,24,49,-972.9,0.0,-19.86,0,8,-142.31,0.0,0
Down,jma,6h,10,3.0,30,-50,2.0,0,0,49,-981.58,0.0,-20.03,0,8,-142.06,0.0,0
Down,jma,6h,10,3.0,30,-50,2.0,0,48,49,-981.58,0.0,-20.03,0,8,-142.06,0.0,0
Down,jma,6h,10,3.0,30,-50,2.0,0,60,49,-981.58,0.0,-20.03,0,8,-142.06,0.0,0
Down,jma,6h,10,3.0,30,-50,2.0,0,24,49,-981.58,0.0,-20.03,0,8,-142.06,0.0,0
Down,jma,6h,10,3.0,30,-50,1.5,0,0,49,-985.58,0.0,-20.11,0,8,-142.28,0.0,0
